Language Score,Writing Skills,Public Speaking,Social Media Experience,Creativity,Communication Skills,Digital Literacy,Portfolio Development,Time Management,Adaptability,Suitability Percentage
63,4,1,2,3,2,1,11,5,3,74.25
89,1,2,3,5,2,5,17,5,4,59
62,3,2,4,5,2,5,8,3,1,76.92
34,1,4,7,3,2,5,5,1,5,50
83,5,3,6,2,1,3,7,4,1,93.08
93,2,5,2,3,2,5,3,2,5,73.67
34,2,1,9,1,4,5,9,4,2,50
30,5,2,7,3,4,2,14,5,4,78.25
22,1,4,9,2,1,1,16,1,5,50
64,3,1,6,2,1,2,2,5,2,72
81,5,4,9,4,3,2,4,2,3,98
42,4,5,8,2,1,4,8,1,1,77.58
66,4,4,0,5,4,5,10,1,4,77.83
72,1,3,5,4,1,4,20,2,3,61
41,3,2,9,5,2,2,20,5,2,61.67
66,5,5,9,5,4,4,3,5,3,98
70,5,3,2,3,1,1,13,5,4,93.58
74,1,3,8,2,4,3,13,3,5,58.58
68,2,4,7,5,1,3,5,5,5,56.25
84,5,2,5,4,3,4,12,1,3,96.33
39,2,2,10,2,4,2,14,3,5,50
63,5,3,0,1,3,4,7,1,2,93.75
47,5,3,9,3,4,1,17,2,2,82.25
38,3,2,4,4,2,2,5,3,3,53.42
55,1,1,7,1,3,4,6,1,3,50
37,5,3,0,2,3,2,12,4,4,75.42
63,5,1,8,5,4,4,10,5,4,98
80,4,4,4,5,3,2,20,2,4,83.75
48,5,2,0,5,3,1,1,2,5,72.33
68,2,5,2,1,2,1,10,1,5,53.75
50,2,4,6,1,4,1,10,4,2,57.75
83,5,1,6,2,3,4,12,2,4,98
95,3,4,5,5,4,4,0,1,5,73.58
79,3,5,3,3,2,4,18,2,1,79
96,3,5,9,1,4,4,0,4,3,75.42
58,5,1,6,4,1,1,6,2,2,71.83
61,5,3,10,4,2,2,13,1,2,98
36,3,2,2,3,2,5,5,3,4,51.25
93,1,4,3,4,3,4,9,3,3,58.33
92,4,1,5,3,2,5,18,1,4,98
35,1,5,3,5,3,2,17,5,5,50
78,3,2,7,1,5,1,0,5,3,74.42
24,3,5,4,1,4,2,16,2,2,60.25
44,3,4,2,5,1,4,9,2,4,56.17
72,1,5,10,1,4,1,14,2,1,61.58
73,3,5,5,5,2,3,4,3,5,78.58
65,5,5,3,3,4,2,3,5,5,96.83
72,4,4,0,4,4,2,5,4,5,77.08
68,5,5,1,5,3,2,11,2,4,97.75
68,5,5,7,1,5,2,20,5,4,98
29,4,4,8,5,5,2,15,3,2,61.83
35,1,4,8,5,1,1,6,5,4,50
39,1,1,4,3,2,5,9,5,4,50
35,3,3,3,4,5,5,16,2,5,62.25
32,1,4,1,1,2,1,5,3,1,50
87,5,4,9,3,2,4,13,1,1,98
26,4,3,6,3,4,2,4,2,5,54.5
48,5,3,8,5,4,5,0,4,1,74.67
39,5,4,6,3,5,4,7,2,2,77.75
22,5,2,6,2,5,1,13,5,1,80
69,1,4,0,3,4,1,7,3,4,52.25
35,1,4,7,4,5,5,3,3,5,50
87,1,2,5,3,5,3,14,5,4,61.42
57,2,5,3,5,1,4,20,3,3,60.58
84,3,3,1,4,4,4,6,1,5,74.17
27,3,4,8,5,3,4,18,5,1,62.5
91,3,2,8,3,2,3,13,5,3,77
45,5,2,3,1,1,3,19,4,4,78.83
23,1,1,1,4,4,2,13,3,1,50
84,2,1,1,5,3,2,15,5,2,77.08
46,5,1,2,3,3,5,16,4,2,75.5
57,5,4,0,3,2,5,4,5,2,75.5
25,4,3,10,3,3,4,18,4,2,63.92
52,4,3,2,4,1,4,4,2,3,72.67
22,2,2,1,4,3,2,9,5,2,50
75,4,5,4,1,3,4,8,4,5,75.83
41,5,2,8,5,5,3,10,5,5,81.75
77,5,1,6,2,1,3,3,1,5,89.17
39,2,4,1,1,4,2,10,3,1,50
84,4,5,1,2,4,3,18,2,2,98
100,5,2,10,3,2,5,12,4,3,97.5
91,5,4,2,2,3,2,19,1,2,96.08
88,1,5,3,3,3,1,7,5,3,55.5
21,3,5,0,4,3,4,10,1,5,54.83
80,2,4,3,3,4,4,1,2,3,52
35,1,3,8,4,3,5,1,2,2,50
74,4,5,2,5,4,4,5,5,2,79.17
62,2,1,9,5,1,2,19,1,5,58.75
90,5,5,7,1,4,1,1,4,3,96.67
49,3,3,5,3,2,1,2,3,3,52.42
52,5,3,8,5,4,2,14,3,5,79.83
79,3,5,2,2,3,5,6,1,4,74.92
28,1,3,7,5,4,4,9,3,5,50
51,4,5,3,1,5,3,13,1,2,78.5
67,2,5,3,4,5,1,14,5,2,58.17
39,2,1,0,3,2,5,19,1,5,50
33,3,3,10,5,4,2,0,1,1,54.5
40,5,5,0,3,5,1,12,5,5,77.08
45,2,2,7,4,4,3,10,3,1,55.33
62,3,3,3,5,2,5,3,1,5,76.17
55,5,1,10,5,1,4,3,3,4,73.25
38,1,5,6,3,5,5,9,1,4,50
30,2,4,5,4,3,3,0,3,1,50
97,5,1,8,5,3,3,8,2,4,95.08
53,2,2,10,3,4,3,19,1,4,60.25
100,3,4,8,4,2,2,10,5,1,79.33
26,4,3,0,5,1,3,9,2,5,53.75
86,2,4,6,1,5,3,15,3,4,81.67
61,2,1,3,2,3,4,19,3,1,57.75
55,2,5,6,2,4,2,13,1,4,58.92
37,1,3,10,3,2,2,16,3,4,50
96,1,3,10,2,4,1,0,2,3,54.67
74,4,5,6,5,3,2,11,3,1,78.75
23,5,5,3,4,3,1,9,5,3,76.75
57,2,5,10,3,1,3,1,4,5,57.83
40,2,3,5,1,3,3,15,5,1,50
73,5,2,7,2,2,3,2,3,5,92
46,4,3,3,2,1,2,13,4,5,75.67
81,4,4,3,2,4,4,11,3,5,98
100,2,3,5,4,5,2,2,4,5,73.75
90,2,4,7,5,2,1,9,5,3,77.08
40,2,1,9,3,5,1,17,1,3,50
59,3,1,9,5,4,3,6,2,5,55.67
21,5,2,6,5,2,4,9,4,4,76.58
50,3,1,5,2,4,3,3,4,5,53.83
35,5,1,8,1,5,4,19,4,5,84.5
63,4,1,7,3,5,5,19,4,5,83.25
39,3,5,8,4,4,2,20,1,3,63.58
81,2,1,1,2,3,4,7,1,2,69.5
59,5,3,6,4,3,2,18,5,3,83.33
76,1,2,7,5,1,4,0,2,1,52.58
83,1,5,4,2,2,2,6,3,5,56.5
59,1,5,7,1,1,4,12,2,5,50
88,4,4,8,3,2,2,7,1,4,97.33
28,5,4,4,2,2,2,20,5,3,81.67
45,4,4,9,4,5,5,1,2,4,75.92
29,2,5,9,4,4,4,11,3,1,50
22,3,2,7,5,2,5,1,1,3,51.5
87,4,4,7,3,3,2,12,2,2,98
29,2,1,1,1,1,1,19,5,5,50
97,2,5,6,4,1,2,10,5,2,77.17
89,1,4,9,2,2,5,17,3,4,62.58
80,4,3,7,2,1,2,14,3,2,78.5
30,2,2,10,5,3,1,16,1,5,50
97,1,2,5,2,4,4,14,4,3,57.17
43,2,2,8,5,3,4,3,4,3,55.67
44,4,1,2,3,1,3,20,1,4,76.75
60,5,2,2,3,4,3,9,1,5,75.58
21,2,2,0,4,4,2,6,1,1,50
78,4,2,0,1,1,2,2,3,4,67.25
35,2,2,9,4,3,5,17,3,3,50
79,5,5,9,5,1,2,4,1,5,96.42
43,2,1,5,3,4,1,4,4,3,54.83
70,5,5,8,3,5,2,12,5,1,98
47,2,4,5,3,5,4,0,2,3,54.75
43,1,3,2,5,2,2,8,1,2,50
26,3,4,8,1,5,4,9,3,2,57.67
95,2,4,0,1,5,4,2,1,4,71.83
86,1,1,5,5,3,2,12,4,3,57.92
97,3,1,5,5,5,2,3,3,4,73.42
48,2,4,7,2,1,1,7,1,5,55.75
95,2,3,0,5,1,5,9,2,5,77.08
89,4,2,7,1,4,5,11,1,3,97.83
23,1,1,2,1,4,2,10,4,5,50
97,2,1,9,2,5,5,6,4,2,75.58
88,4,5,3,5,5,5,11,5,4,98
79,1,3,5,1,1,4,8,4,4,54.08
83,3,1,5,5,5,5,14,2,4,81.42
94,5,5,7,5,5,1,11,3,1,98
76,2,5,6,2,2,2,9,2,3,57.58
25,5,1,1,3,4,2,3,1,5,69.92
59,3,4,3,5,5,3,0,5,2,56.67
66,2,1,1,1,4,3,11,2,1,53.08
29,1,4,9,2,5,2,5,3,3,50
